epoch,phase,epoch_loss,epoch_acc,best_acc
0,train,2.211601092983978,"tensor(0.1584, device='cuda:5', dtype=torch.float64)",0.0
0,test,1.9160289065043132,"tensor(0.2776, device='cuda:5', dtype=torch.float64)","tensor(0.2776, device='cuda:5', dtype=torch.float64)"
1,train,1.7510205129661944,"tensor(0.3580, device='cuda:5', dtype=torch.float64)","tensor(0.2776, device='cuda:5', dtype=torch.float64)"
1,test,1.6212471492362746,"tensor(0.4461, device='cuda:5', dtype=torch.float64)","tensor(0.4461, device='cuda:5', dtype=torch.float64)"
2,train,1.475915085185658,"tensor(0.4800, device='cuda:5', dtype=torch.float64)","tensor(0.4461, device='cuda:5', dtype=torch.float64)"
2,test,1.356313504594745,"tensor(0.4958, device='cuda:5', dtype=torch.float64)","tensor(0.4958, device='cuda:5', dtype=torch.float64)"
3,train,1.2033003180436415,"tensor(0.5572, device='cuda:5', dtype=torch.float64)","tensor(0.4958, device='cuda:5', dtype=torch.float64)"
3,test,1.045928917798129,"tensor(0.6170, device='cuda:5', dtype=torch.float64)","tensor(0.6170, device='cuda:5', dtype=torch.float64)"
4,train,0.9362623089491718,"tensor(0.6679, device='cuda:5', dtype=torch.float64)","tensor(0.6170, device='cuda:5', dtype=torch.float64)"
4,test,0.822753060947765,"tensor(0.6812, device='cuda:5', dtype=torch.float64)","tensor(0.6812, device='cuda:5', dtype=torch.float64)"
5,train,0.7278097472046361,"tensor(0.7382, device='cuda:5', dtype=torch.float64)","tensor(0.6812, device='cuda:5', dtype=torch.float64)"
5,test,0.6416390105449792,"tensor(0.7891, device='cuda:5', dtype=torch.float64)","tensor(0.7891, device='cuda:5', dtype=torch.float64)"
6,train,0.6491423002397171,"tensor(0.7705, device='cuda:5', dtype=torch.float64)","tensor(0.7891, device='cuda:5', dtype=torch.float64)"
6,test,0.5763225588654027,"tensor(0.7855, device='cuda:5', dtype=torch.float64)","tensor(0.7891, device='cuda:5', dtype=torch.float64)"
7,train,0.49394732138123176,"tensor(0.8242, device='cuda:5', dtype=torch.float64)","tensor(0.7891, device='cuda:5', dtype=torch.float64)"
7,test,0.43999105085026136,"tensor(0.8655, device='cuda:5', dtype=torch.float64)","tensor(0.8655, device='cuda:5', dtype=torch.float64)"
8,train,0.40976747004672737,"tensor(0.8638, device='cuda:5', dtype=torch.float64)","tensor(0.8655, device='cuda:5', dtype=torch.float64)"
8,test,0.4383790968403672,"tensor(0.8218, device='cuda:5', dtype=torch.float64)","tensor(0.8655, device='cuda:5', dtype=torch.float64)"
9,train,0.4118436854295056,"tensor(0.8481, device='cuda:5', dtype=torch.float64)","tensor(0.8655, device='cuda:5', dtype=torch.float64)"
9,test,0.3556374779253295,"tensor(0.8485, device='cuda:5', dtype=torch.float64)","tensor(0.8655, device='cuda:5', dtype=torch.float64)"
10,train,0.32242260175521925,"tensor(0.8901, device='cuda:5', dtype=torch.float64)","tensor(0.8655, device='cuda:5', dtype=torch.float64)"
10,test,0.2905761635303497,"tensor(0.9042, device='cuda:5', dtype=torch.float64)","tensor(0.9042, device='cuda:5', dtype=torch.float64)"
11,train,0.2734593557348155,"tensor(0.9160, device='cuda:5', dtype=torch.float64)","tensor(0.9042, device='cuda:5', dtype=torch.float64)"
11,test,0.2698587521639737,"tensor(0.9152, device='cuda:5', dtype=torch.float64)","tensor(0.9152, device='cuda:5', dtype=torch.float64)"
12,train,0.23175503202761064,"tensor(0.9354, device='cuda:5', dtype=torch.float64)","tensor(0.9152, device='cuda:5', dtype=torch.float64)"
12,test,0.23159984671708309,"tensor(0.9430, device='cuda:5', dtype=torch.float64)","tensor(0.9430, device='cuda:5', dtype=torch.float64)"
13,train,0.2043633516990777,"tensor(0.9527, device='cuda:5', dtype=torch.float64)","tensor(0.9430, device='cuda:5', dtype=torch.float64)"
13,test,0.2097674118388783,"tensor(0.9382, device='cuda:5', dtype=torch.float64)","tensor(0.9430, device='cuda:5', dtype=torch.float64)"
14,train,0.19205850571092933,"tensor(0.9535, device='cuda:5', dtype=torch.float64)","tensor(0.9430, device='cuda:5', dtype=torch.float64)"
14,test,0.1900313552943143,"tensor(0.9600, device='cuda:5', dtype=torch.float64)","tensor(0.9600, device='cuda:5', dtype=torch.float64)"
15,train,0.16877129479490147,"tensor(0.9584, device='cuda:5', dtype=torch.float64)","tensor(0.9600, device='cuda:5', dtype=torch.float64)"
15,test,0.1666892929510637,"tensor(0.9600, device='cuda:5', dtype=torch.float64)","tensor(0.9600, device='cuda:5', dtype=torch.float64)"
16,train,0.15259771272389575,"tensor(0.9648, device='cuda:5', dtype=torch.float64)","tensor(0.9600, device='cuda:5', dtype=torch.float64)"
16,test,0.15151848074161645,"tensor(0.9758, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
17,train,0.14773041095998551,"tensor(0.9653, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
17,test,0.15069988297693657,"tensor(0.9697, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
18,train,0.1418029426926314,"tensor(0.9693, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
18,test,0.1400601234219291,"tensor(0.9673, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
19,train,0.13269677972853786,"tensor(0.9677, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
19,test,0.1346083173787955,"tensor(0.9636, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
20,train,0.12005475214033416,"tensor(0.9701, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
20,test,0.11679125738866401,"tensor(0.9745, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
